20160901 013600;0.754150;0.754150;0.754120;0.754130;0
20160901 013700;0.754120;0.754150;0.754100;0.754120;0
20160901 013800;0.754120;0.754120;0.754020;0.754110;0
20160901 013900;0.754120;0.754120;0.754080;0.754110;0
20160901 014000;0.754110;0.754180;0.754110;0.754130;0
20160901 014100;0.754140;0.754140;0.754130;0.754130;0
20160901 014200;0.754140;0.754220;0.754130;0.754130;0
20160901 014300;0.754120;0.754130;0.754120;0.754130;0
20160901 014400;0.754180;0.754210;0.754020;0.754030;0
20160901 014500;0.754040;0.754080;0.754000;0.754020;0
20160901 014600;0.754030;0.754030;0.753920;0.753920;0
20160901 014700;0.753930;0.753930;0.753730;0.753840;0
20160901 014800;0.753830;0.753940;0.753800;0.753890;0
20160901 014900;0.753900;0.754070;0.753900;0.754010;0
20160901 015000;0.754020;0.754050;0.753930;0.753950;0
20160901 015100;0.753950;0.753980;0.753930;0.753930;0
20160901 015200;0.753930;0.753960;0.753930;0.753940;0
20160901 015300;0.753930;0.753960;0.753920;0.753930;0
20160901 015400;0.753850;0.753920;0.753830;0.753920;0
20160901 015500;0.753930;0.753940;0.753840;0.753930;0
20160901 015600;0.753930;0.754000;0.753840;0.753840;0
20160901 015700;0.753840;0.753980;0.753820;0.753920;0
20160901 015800;0.753890;0.753910;0.753710;0.753740;0
20160901 015900;0.753730;0.753730;0.753600;0.753630;0
20160901 020000;0.753630;0.753740;0.753510;0.753550;0
20160901 020100;0.753540;0.753750;0.753540;0.753740;0
20160901 020200;0.753710;0.753820;0.753620;0.753620;0
20160901 020300;0.753630;0.753730;0.753530;0.753530;0
20160901 020400;0.753560;0.753630;0.753490;0.753530;0
20160901 020500;0.753530;0.753530;0.753330;0.753330;0
20160901 020600;0.753330;0.753440;0.753330;0.753330;0
20160901 020700;0.753370;0.753420;0.753350;0.753410;0
20160901 020800;0.753420;0.753530;0.753420;0.753430;0
20160901 020900;0.753490;0.753520;0.753440;0.753500;0
20160901 021000;0.753510;0.753520;0.753500;0.753520;0
20160901 021100;0.753520;0.753520;0.753390;0.753400;0
20160901 021200;0.753370;0.753530;0.753310;0.753510;0
20160901 021300;0.753500;0.753500;0.753220;0.753220;0
20160901 021400;0.753200;0.753210;0.753110;0.753210;0
20160901 021500;0.753210;0.753320;0.753210;0.753300;0
20160901 021600;0.753270;0.753290;0.753210;0.753220;0
20160901 021700;0.753240;0.753310;0.753220;0.753310;0
20160901 021800;0.753290;0.753320;0.753290;0.753300;0
20160901 021900;0.753290;0.753320;0.753220;0.753230;0
20160901 022000;0.753280;0.753320;0.753210;0.753320;0
20160901 022100;0.753290;0.753310;0.753220;0.753230;0
20160901 022200;0.753220;0.753310;0.753220;0.753280;0
20160901 022300;0.753290;0.753360;0.753220;0.753300;0
